Name,Accessory 1,Accessory 2,Accessory 3,Accessory 4,Accessory 5,Muscles Involved,Audience,What to Do,Repetitions,Video Link,Category 1,Category 2,Category 3,Category 4,Heuristic Level,ACSM Level
Ankle Pumps,Chair/Floor,None,None,None,None,"Calves, tibialis anterior, and ankle stabilizers","Suitable for individuals improving ankle mobility, circulation, or recovering from lower limb injuries.","Sit upright with feet flat on the floor. Alternate between lifting toes (dorsiflexion) and pressing heels down (plantar flexion) in a smooth, controlled motion.",15–20 repetitions,https://youtu.be/Qn7W6R6sK3Y,Legs,,,,Beginner,Beginner
Ankle Pumps while Extending Leg,Chair/Floor,None,None,None,None,"Quadriceps, calves, and ankle stabilizers","Suitable for individuals improving leg and ankle mobility while seated, ideal for beginners or those with limited mobility.",Sit upright with feet flat on the floor. Extend one leg forward while simultaneously pumping your ankle by pointing and flexing your toes. Lower the leg and repeat on the other side.,10–15 repetitions per leg,https://youtu.be/Qn7W6R6sK3Y,Legs,,,,Beginner,Beginner
Assisted Heel Raises,Sturdy chair,None,None,None,None,Calves (gastrocnemius and soleus),"Suitable for individuals improving lower leg strength and balance, with additional support for safety.","Stand behind a sturdy chair, holding onto it for balance. Slowly lift your heels off the ground, then lower back down with control.",10–15 repetitions,https://youtu.be/URth5HtcPis?si=5NAF0YYGrAFqzJJe,Legs,,,,Beginner,Beginner
Assisted Reverse Lunges,Optional chair/Optional wall,None,None,None,None,"Quadriceps, glutes, hamstrings, and calves",Suitable for individuals improving lower body strength and balance with support from a chair or wall.,"Stand upright holding onto a chair or wall for support. Step one foot back into a shallow lunge, keeping your front knee above the ankle. Return to standing and switch sides.",6–10 repetitions per leg,https://youtu.be/OoGPDAUd4dM,Legs,,,,Beginner,Beginner
Assisted Sit-to-Stand with Pause,Sturdy chair,None,None,None,None,"Quadriceps, glutes, hamstrings, and core",Suitable for individuals improving lower body strength and control with assistance.,Sit on a sturdy chair with feet flat on the floor. Lean forward and use your hands on the chair or thighs for assistance as you stand up. Pause briefly at the halfway point before fully standing. Lower back down slowly.,8–12 repetitions,https://youtu.be/16DE17GQNxI?si=I-9O_xn_fJr3Dvt8,Legs,Core,,,Beginner,Beginner
Bent-Over Row with Hands on Table,Sturdy table,Light weights/Resistance bands,None,None,None,"Upper back, shoulders, and biceps",Suitable for beginners or individuals needing back support during rowing motions. Helps build upper body strength while minimizing lower back strain.,"Stand facing a sturdy table and place your hands on the table for support. Bend slightly at the hips, keeping your back straight. Hold light weights or resistance bands and pull towards your torso by bending your elbows and squeezing your shoulder blades together. Lower slowly with control.",8–12 repetitions,https://youtu.be/xHP8ekStvWE,Arms,Back,,,Beginner,Beginner
Bent-Over Supported Row,Sturdy chair,Light weights/Resistance bands,None,None,None,"Upper back, shoulders, and biceps",Ideal for individuals seeking supported back strengthening while minimizing lower back strain.,"Place one hand on a sturdy chair for support, hinge slightly at the hips, and pull a weight or band toward your torso by bending your elbow and squeezing the shoulder blade. Switch sides after reps.",8–12 repetitions per side,https://youtu.be/xHP8ekStvWE,Arms,Back,,,Beginner,Beginner
Calf Stretch,Wall,None,None,None,None,Calves (gastrocnemius and soleus),Good for individuals with tight hamstrings or lower leg discomfort needing calf flexibility.,"Stand facing a wall with one foot behind the other. Keep the back leg straight and heel on the floor, bending the front knee and leaning into the wall until a stretch is felt in the calf.",Hold for 20–30 seconds; repeat 2–3 times per leg,https://youtu.be/uBYYqWQ7zEQ?si=7QJW_OeUyf9xACMP,Legs,Stretches,,,Beginner,Beginner
Calf Stretch on Wall,Wall,None,None,None,None,Calves (gastrocnemius and soleus),"Suitable for individuals needing to relieve calf tightness, improve ankle mobility, or enhance flexibility for walking or running.","Stand facing a wall and place your hands against it. Step one foot back and press the heel into the ground, keeping the back leg straight. Lean forward to feel a stretch in the calf.",Hold for 20–30 seconds; repeat 2–3 times per leg,,Legs,Stretches,,,Beginner,Beginner
Chair-Assisted Push-Ups,Sturdy chair,None,None,None,None,"Chest, triceps, shoulders, and core",Suitable for beginners or individuals building upper body strength who need extra support. Great for improving pushing strength with reduced load.,"Stand facing a sturdy chair and place your hands on the arms or seat at shoulder-width. Keep your body straight and bend your elbows to lower your chest toward the chair. Press back up with control, maintaining a straight line from head to heels.",8–12 repetitions,,Arms,Chest,Core,,Beginner,Beginner
Chest Press Against a Wall,Wall,None,None,None,None,"Chest, shoulders, and triceps","Ideal for individuals seeking a safe, low-impact chest exercise with full body stability.",Stand facing a wall and push against it with your hands at chest height to activate chest muscles.,Hold for 10–20 seconds; repeat 3–5 times,https://youtu.be/1yTiD4setiY?si=Mac-uB0X4pXyPe9o,Arms,Chest,,,Beginner,Beginner
Front Shoulder Raise,Chair/Floor,None,None,None,None,Front deltoids and upper chest,Suitable for beginners or individuals seeking gentle shoulder strengthening.,Sit upright with arms at your sides. Raise both arms straight forward to shoulder height without weights. Hold briefly and lower with control.,8–12 repetitions,,Shoulders,Chest,,,Beginner,Beginner
Gentle Seated Twists with Hands on Hips,Chair/Floor,None,None,None,None,Obliques and core stabilizers,"Ideal for beginners or individuals easing into core rotation exercises, especially those with limited flexibility.","Sit upright with hands resting on your hips. Gently twist your torso to one side, keeping the motion small and controlled, then return and switch sides.",8–12 repetitions per side,https://youtu.be/gSWFQVwRCYc?si=0RIf0sPfZ4Uxtf29,Core,,,,Beginner,Beginner
Heel Raises with Chair Support,Sturdy chair,None,None,None,None,Calves (gastrocnemius and soleus),Ideal for individuals improving balance and calf strength with additional support.,"Stand behind a sturdy chair and hold onto the chair arms for balance. Lift your heels off the ground slowly, then lower with control.",10–15 repetitions,https://youtu.be/URth5HtcPis?si=5NAF0YYGrAFqzJJe,Legs,,,,Beginner,Beginner
Heel Taps (Seated),Chair/Floor,None,None,None,None,"Lower abdominals, hip flexors, and quadriceps",Suitable for individuals seeking gentle core and lower limb activation while seated.,Sit upright and tap your heels alternately on the floor to engage lower abdominal muscles gently. Keep your upper body still.,15–20 taps per foot,https://youtu.be/ecUOGrOalmw?si=JMuk-oJ57-vOPyTr,Legs,,,,Beginner,Beginner
Heel Taps with Arm Raise,Floor,None,None,None,None,"Calves, shoulders, and core stabilizers",Suitable for individuals improving coordination and balance while incorporating gentle upper and lower body movements.,Stand with feet hip-width apart. Lift your heels off the floor to tap your toes down while simultaneously raising your arms overhead. Lower with control and repeat.,10–15 repetitions,,Legs,Arms,Core,,Beginner,Beginner
